id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
115;France;Scrap;2166.0;1265.0;2164.0;2988.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
116;France;Unwrought;23368.0;10909.0;13964.0;21693.0;24002.0;16608.0;20214.0;24230.0;20677.0;30896.0;27414.0;i;nickel
117;France;Unwrought alloys;9386.0;5364.0;5029.0;7345.0;5466.0;4943.0;5979.0;5936.0;6376.0;7027.0;3248.0;i;nickel
118;Germany;Mattes;797.0;561.0;849.0;2048.0;1869.0;766.0;nan;nan;nan;nan;nan;i;nickel
119;Germany;Ores&concentrates;1310.0;1087.0;1667.0;1184.0;8185.0;1637.0;3042.0;3562.0;2787.0;2555.0;2943.0;i;nickel
120;Germany;Oxides;617.0;463.0;621.0;476.0;608.0;532.0;510.0;634.0;572.0;592.0;479.0;i;nickel
121;Germany;Scrap;18316.0;8259.0;8584.0;11924.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
122;Germany;Unwrought;68767.0;42201.0;69282.0;68023.0;73360.0;66360.0;60726.0;57150.0;58375.0;65185.0;63196.0;i;nickel
123;Germany;Unwrought alloys;6102.0;3839.0;8023.0;11778.0;23191.0;7844.0;11039.0;8364.0;10008.0;10126.0;10043.0;i;nickel
124;Greece;Ores&concentrates;nan;nan;nan;nan;nan;nan;0.0;0.0;9.0;0.0;9317.0;i;nickel
125;Hungary;Unwrought;69.0;219.0;346.0;35.0;47.0;159.0;302.0;306.0;308.0;439.0;280.0;i;nickel
126;Ireland, Republic of;Unwrought;1118.0;626.0;1503.0;1748.0;568.0;409.0;181.0;106.0;386.0;541.0;663.0;i;nickel
127;Italy;Mattes;nan;93.0;1.0;4.0;78.0;1281.0;903.0;1140.0;759.0;204.0;0.0;i;nickel
128;Italy;Scrap;892.0;763.0;1063.0;656.0;nan;1330.0;nan;nan;nan;nan;nan;i;nickel
129;Italy;Unwrought;42339.0;25833.0;39586.0;38075.0;33635.0;28985.0;30904.0;33584.0;35096.0;43414.0;42137.0;i;nickel
