id;techGroup;tech;mat;scenario;year2020;year2030;year2040
199;lowCarb;nuclear;Yttrium;sds;0.0047905;0.011891037;0.006434911
200;lowCarb;nuclear;Others;sds;0.024910601;0.061833392;0.033461539
201;battery;All;All;sds;426.134139;6904.946579;12650.271
202;battery;EV;All;sds;400.5624115;6603.268803;11803.49399
203;battery;EV;Copper;sds;110.3186593;1632.634046;3119.348676
204;battery;EV;Cobalt;sds;21.12174819;256.6352342;441.1185093
205;battery;EV;Graphite;sds;141.0330068;2499.250144;3568.537979
206;battery;EV;Lithium;sds;19.83166892;358.3903327;859.2741675
207;battery;EV;Manganese;sds;25.34390429;246.2786682;403.7579793
208;battery;EV;Nickel;sds;80.46915087;1566.947828;3286.687202
209;battery;EV;Silicon;sds;0.192619019;20.16463314;90.13334474
210;battery;EV;Neodymium;sds;1.801323277;18.37433365;27.70890156
211;battery;EV;Other REEs;sds;0.450330819;4.593583412;6.927225391
212;battery;battery;All;sds;25.57172748;301.6777766;846.7770158
213;battery;battery;Copper;sds;8.328676603;90.39141996;210.5681321
214;battery;battery;Cobalt;sds;0.198999736;5.579420186;13.96734169
215;battery;battery;Graphite;sds;14.63561667;142.0518668;280.2092842
216;battery;battery;Lithium;sds;1.742003467;19.76740625;44.54244538
217;battery;battery;Manganese;sds;0.247383205;6.820589953;14.29062603
218;battery;battery;Nickel;sds;0.396562512;17.07263016;57.06079173
219;battery;battery;Silicon;sds;0.022485285;1.331568079;6.709675348
220;battery;battery;Vanadium;sds;0.0;18.66287518;219.4287193
221;network;All;All;sds;14079.66754;19385.62317;26334.54478
222;network;transmission;All;sds;5985.140027;7969.745576;9325.507051
223;network;transmission;Copper;sds;1837.294889;2704.917612;3251.68406
224;network;transmission;Aluminium;sds;4147.845138;5264.827963;6073.822991
225;network;distribution;All;sds;7699.799012;10667.41872;16161.02944
226;network;distribution;Copper;sds;2743.373208;3857.406908;5907.478059
227;network;distribution;Aluminium;sds;4956.425804;6810.011816;10253.55138
228;network;transformer;All;sds;394.728498;748.4588734;848.0082873
229;network;transformer;Copper;sds;394.728498;748.4588734;848.0082873
230;hydrogen;All;All;sds;0.115061048;21.75790662;79.06752096
231;hydrogen;electrolyser;All;sds;0.003834917;8.395115313;17.54090661
232;hydrogen;electrolyser;Copper;sds;5.87e-06;0.015019172;0.045260305
233;hydrogen;electrolyser;Cobalt;sds;2.17e-05;0.019322027;0.013297154
234;hydrogen;electrolyser;Nickel;sds;0.003351439;7.360772134;15.38318622
235;hydrogen;electrolyser;Iridium;sds;6.75e-07;0.000596119;0.001201138
236;hydrogen;electrolyser;Platinum;sds;3.22e-07;0.000370821;0.000304288
237;hydrogen;electrolyser;Zirconium;sds;0.000454871;0.99903504;2.082516809
238;hydrogen;electrolyser;Yttrium;sds;0.0;0.0;0.001187505
239;hydrogen;electrolyser;Lanthanum;sds;0.0;0.0;0.013953189
240;hydrogen;FCEV;All;sds;0.111226131;13.36279131;61.52661435
241;hydrogen;FCEV;Copper;sds;0.110450573;13.32732197;61.40971962
242;hydrogen;FCEV;Platinum group metals;sds;0.000775557;0.035469335;0.116894728
